No,都市名,Y(緯度）,X(経度),Yのピクセル,Xのピクセル
1,北海道 稚内,45.4156641,141.6730822,17,255
2,北海道 旭川,43.7706355,142.364819,41,263
3,北海道 留萌,43.9409868,141.6370119,38,255
4,北海道 札幌,43.0620958,141.3543763,51,251
5,北海道 岩見沢,43.1962055,141.7759331,49,256
6,北海道 倶知安,42.9018294,140.7586977,53,243
7,北海道 網走,44.0206319,144.2733983,38,287
8,北海道 北見,43.8040314,143.8958758,40,282
9,北海道 紋別,44.3564842,143.3545032,34,276
10,北海道 根室,43.3300759,145.5827903,47,303
11,北海道 釧路,42.9848542,144.3813556,52,288
12,北海道 帯広,42.9238989,143.1961031,53,274
13,北海道 室蘭,42.3152306,140.9737991,62,246
14,北海道 浦河,42.1685159,142.7681204,64,268
15,北海道 函館,41.7687933,140.7288103,70,243
16,北海道 江差,41.8691558,140.12746,69,236
17,青森県 青森,40.8243077,140.7399984,84,243
18,青森県 むつ,41.2927457,141.1834755,77,249
19,青森県 八戸,40.5122839,141.4883986,88,252
20,秋田県 秋田,39.7186135,140.1023643,100,235
21,秋田県 横手,39.3137816,140.5666488,106,241
22,岩手県 盛岡,39.702053,141.1544838,101,248
23,岩手県 宮古,39.6414202,141.9571395,102,257
24,岩手県 大船渡,39.0819011,141.70853,110,255
25,宮城県 仙台,38.268215,140.8693558,122,245
26,宮城県 白石,38.0024779,140.6198605,126,242
27,山形県 山形,38.2404355,140.3636333,123,238
28,山形県 米沢,37.9222401,140.1167811,127,235
29,山形県 酒田,38.9147858,139.8365708,113,233
30,山形県 新庄,38.7650154,140.3016084,115,238
31,福島県 福島,37.7608337,140.4747282,129,240
32,福島県 小名浜,36.9468923,140.9218616,142,245
33,福島県 若松,37.4947611,139.9298096,134,233
34,茨城県 水戸,36.3665027,140.4709965,151,240
35,茨城県 土浦,36.0782972,140.2043331,155,237
36,栃木県 宇都宮,36.5551124,139.8828072,149,233
37,栃木県 大田原,36.871484,140.0174187,144,234
38,群馬県 前橋,36.3894816,139.0634281,151,222
39,群馬県 みなかみ,36.6786996,138.9990639,147,222
40,埼玉県 さいたま,35.8617292,139.6454822,159,230
41,埼玉県 熊谷,36.1473097,139.3886446,155,226
42,埼玉県 秩父,35.9920551,139.0848169,157,223
